"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","data.dwc:eventDate","data.dwc:year","data.dwc:month","data.dwc:day","collector","recordset"
"06e73628-00a4-4421-a791-1a4a826755a3","8eed1a1d-7045-44f7-abc5-141abe2015ab","vpi-v-0059466","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,NA,NA,NA,"471835cc-feb6-4d05-a8d1-62ce71399326"
"06fa5dc4-08ac-4e43-8179-95f8e91e4850","d2ae11d1-d841-4892-96e3-1376d480dae5","etsu028051","diapensiaceae","galax","galax urceolata","united states","tennessee",NA,NA,"2022-05-17","2022","5","17","frosty levy; elaine walker","21b563bc-70c2-46d5-bce8-2489db2db3d8"
"0767e7a0-9996-410a-9894-9b6c5c63cfac","48f850a6-9033-424b-882e-06d77fc8411c","263101","diapensiaceae","galax","galax urceolata","united states","north carolina",-81.90382,35.7302,NA,NA,NA,NA,"stein servick","781fd581-7b93-471e-a025-413e4bcd8491"
"079e8164-681e-4005-b744-8d55ee59746c","http://n2t.net/ark:/65665/30ffbf487-a616-4e64-b281-253872273ee2","us 1846279","diapensiaceae","galax","galax urceolata","united states","west virginia",NA,NA,"1941-06-10","1941","6","10","j. tosh","a6eee223-cf3b-4079-8bb2-b77dad8cae9d"
"07d22361-9257-4bb0-a19c-a4c1afbae1ff","s:vascularplants:s-pl-25638","s-pl-25638","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,"1872-06-15","1872","06","15","a.h. curtiss","fc014977-92f7-47fd-92d7-b609c39d8212"
"083637c1-99e6-4135-9475-05a53f78e6ea","98168ea8-079b-4606-8f73-f698f7abddcc","vpi-v-0059451","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,NA,NA,NA,"471835cc-feb6-4d05-a8d1-62ce71399326"
"08528918-c344-429e-9ab9-55d515d15d72","ccfdba02-b835-4adc-8243-ebdb51953956","no0092173","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,"1967",NA,NA,"r. c. dunton","4523e216-ee13-4b15-a3f7-a6fd56431604"
"087ea680-ff95-4474-a33d-c5ff79c39ba3","2d24ae9c-12e7-4fd8-9df9-cca89036fb5c","rsa0508053","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,NA,NA,"malcolm m. rice","a4e6033a-d1eb-46d3-869d-7c0328f09aa7"
"08d649f1-fff1-49a0-aeac-47e75f800bfb","3a5d06cc-f4e6-457f-aa75-54dde7a40c41","ncu00332606","diapensiaceae","galax","galax urceolata","united states","georgia",NA,NA,"1972-06-12","1972","6","12","jones, samuel b., jr.; galle, fred","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"08ee176d-0275-44ae-81ac-f09e07fef4d5","45797420-27a5-11e3-8d47-005056be0003","lsu00085807","diapensiaceae","galax","galax urceolata","united states","alabama",NA,NA,"1987-08-15","1987","8","15","lowell e. urbatsch; patricia b. cox; elizabeth m. harris; alan w. lievens","4523e216-ee13-4b15-a3f7-a6fd56431604"
"097004ae-3152-44af-bd0e-bcd2a1bdaf1a","1d979b3d-2908-4a51-b716-ce4dc91ff120","rsa0508044","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,"1933-08-12","1933","8","12","sr. margaret potts, r. c. e.","a4e6033a-d1eb-46d3-869d-7c0328f09aa7"
"09c1b232-8ebd-42b3-8325-e0636ddce785","3be92278-0bf4-42ff-a426-b0caf81fcec1","etsu026918","diapensiaceae","galax","galax urceolata","united states","tennessee",NA,NA,"2019-10-05","2019","10","5","frosty levy; elaine walker","21b563bc-70c2-46d5-bce8-2489db2db3d8"
"09d81681-42db-467d-ac3b-cabad61a0b77","97ef06c8-868f-4b24-a512-fca3e5f1165d","sfv105631","diapensiaceae","galax","galax urceolata","united states","kentucky",-83.58,36.66,"1977-05-19","1977","5","19","m. h. grayum; r. b. cranfill, p. threadgill","4fed055b-3c46-4ec4-b76d-84d43df9258b"
"0a040bea-f2be-4fbc-ab5a-b8d6c39a7e68","http://n2t.net/ark:/65665/3c1c663d8-03cc-479b-aeb9-796add72ec98","us 2588745-2","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,NA,NA,"w. m. canby","a6eee223-cf3b-4079-8bb2-b77dad8cae9d"
"0a1f148a-8723-40e5-9b71-245b2e1c29f2","83f33697-41b5-4648-b605-0f17a3487478","vpi-v-0060057","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,NA,NA,NA,"471835cc-feb6-4d05-a8d1-62ce71399326"
"0a2a683f-5f12-47a0-aefb-9a252045fb7a","411346a3-329c-41ef-9285-b7a3d685f1a1","ga059140","diapensiaceae","galax","galax urceolata","united states","georgia",NA,NA,"1968-04-17","1968","4","17","deal, b","beab5209-9628-4d4d-851e-2bc9bb1a0105"
"0a5869bf-701f-496a-bfab-bd5d0baa3ee4","25236555-4a20-4120-bda9-89bde5b6768e","ncu00080568","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,"1967",NA,NA,"dunton, rupert c.","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"0a8c08c5-734f-4108-a8d4-9eada51adfc9","878c9f32-d4b7-42fd-ab12-4d45cc9589c6","ncu00331883","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,"1946",NA,NA,"radford, a. e.; stewart radford, laurie m.","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"0abdfc55-c44a-45af-a1da-368e28ec6437","d9a2d7c3-d969-4260-a56b-ff01281f29b7","bch001478","diapensiaceae","galax","galax urceolata","united states","georgia",NA,NA,"1993-10-19","1993","10","19","daffron, shawn","33bac15d-b1d0-42a1-8801-86149887eeef"
"0b39083a-3a97-4371-9fae-8daf60513474","b2766b06-4467-4c42-9a9e-c522fed77bdd","ncsc00082927","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,NA,NA,NA,"aca26f37-3ec8-4e9e-b927-50b4944a0096"
"0b46941d-d4c0-4f41-b7ab-ddae57970dd3","urn:uuid:cca7e467-7ab0-4d55-8f56-7d7b03dccc44","vsc0021163","diapensiaceae","galax","galax urceolata","united states","georgia",NA,NA,"1963-07-10",NA,NA,NA,"wayne r. faircloth","76fd34da-4892-4821-858d-98fe9e28ba8b"
"0b5706c5-ea75-45c8-9154-f4ca1a10617f","982e2e24-ed07-48b0-a6ac-aed45675dea1","ncu00332008","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,"1957",NA,NA,"radford, a. e.","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"0b6e8487-ddef-4488-b000-9edb8ee34fe6","3ee75d6b-ea9f-486e-ad7e-88246d22f01a",NA,"diapensiaceae","galax","galax urceolata","united states","tennessee",NA,NA,NA,"2001",NA,NA,"d.t. busemeyer, m.a. feist, p.b. marcum, & l.r. phillippe","f0174bc9-0cca-450e-a941-655d80040139"
"0b8ab8c0-39e1-461f-95d5-3b5b740f8823","2682b43f-288b-4b93-9d50-cfc8c1b159e7","ncu00081932","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,"2002",NA,NA,"sorrie, b. a.","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"0b8d101f-dbbc-4569-a9a2-a5cbdfc5b9c5","urn:uuid:29769b84-6d72-4a45-a9d2-725450b4d806","000105466","diapensiaceae","galax","galax urceolata","united states","kentucky",NA,NA,NA,NA,NA,NA,NA,"ddef79ec-043c-4027-9876-c4a298feff6d"
"0bc25f00-8292-4426-98ed-e33451724847","c11788b3-905c-4765-887d-7448987ca20e","51618","diapensiaceae","galax","galax urceolata","united states","georgia",NA,NA,"1947-06-08","1947","6","8","arthur cronquist","781fd581-7b93-471e-a025-413e4bcd8491"
"0bc8567a-55d9-44be-abb3-d1ea42014838","30b89196-dec5-4cbd-9b32-0ea113a9a995","ncu00326350","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,"1958",NA,NA,"ahles, harry e.; duke, james a.","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"0bddfd40-0024-48ec-80ea-225268166055","7751b711-348e-4898-a9e0-3ca9baa44c84","no0092175","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,"1867",NA,"0","heidy","4523e216-ee13-4b15-a3f7-a6fd56431604"
"0be31d17-a0a4-4006-bfff-fbd546c34394","http://n2t.net/ark:/65665/38eccf92f-3418-474b-b7b0-8675903e5c7c",NA,"diapensiaceae","galax","galax urceolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"a6eee223-cf3b-4079-8bb2-b77dad8cae9d"
"0c1fc224-a355-4ba7-86f5-0c90756d9cb4","64c1e675-99ed-4b40-90ab-d9744fb58380","ucht035457","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,NA,NA,NA,"120d557c-c5be-474d-98f0-1ba00ae16b40"
"0c27533d-ce53-416c-acdc-46b738c07287","0e7bd218-13ee-4bee-907c-f9a73f6ec38b","rsa0508048","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,"1954-06-24","1954","6","24","f. h. sargent","a4e6033a-d1eb-46d3-869d-7c0328f09aa7"
"0c28c5cb-d156-4644-b9ed-bb6ef3d9ecea","03ed7408-e3ee-4a74-8256-bd5e49d710aa","clems0042896","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,"1992",NA,NA,"g. parker","264c48ec-8636-451f-a7e0-74131bc6f84c"
"0c6d86b6-c840-47de-af35-13a20b7e0eca","63b3c950-826e-4f9d-8140-322d167044ab","ncu00332018","diapensiaceae","galax","galax urceolata","united states","south carolina",-80.115581,34.366943,"1932-05-09","1932","5","9","smith, budd elmon","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"0c8fd3f7-8d40-4f43-b0cb-d03938e2af4f","587286be-bd72-4c24-8367-d235b69c7080","ncu00331931","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,"1955",NA,NA,"kessler duke, peggy-ann wetmore","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"0c9178d4-a020-4012-b043-73660f4f8065","d1e544c2-055b-4864-8428-5e2d6a4a9394","1717","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,"1935",NA,NA,"crafton, w. m.","de67ccab-7d04-43b9-8083-81e45f628505"
"0ca6a22c-4526-4988-bbe0-6afffcdd01b3","http://n2t.net/ark:/65665/3f910fd32-27ff-4aa0-871b-e224315e7e25","us 1849828","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,"1939-06-17","1939","6","17","f. a. gilbert & l. g. williams","a6eee223-cf3b-4079-8bb2-b77dad8cae9d"
"0d119099-e283-4480-a1e6-fcaeef06215a","85d9f272-4f6a-4f15-9166-cb5a0ee3c06f","etsu015795","diapensiaceae","galax","galax urceolata","united states","tennessee",NA,NA,"1952-06-30","1952","6","30","lulu delashmentt","21b563bc-70c2-46d5-bce8-2489db2db3d8"
"0d38d9cb-49bf-49ae-b94c-a957147fb2ac","7f524fbf-99b5-4e0c-a6c3-f3a8e03d1f27","wgc03421","diapensiaceae","galax","galax urceolata","united states","georgia",NA,NA,"1974-10-05","1974","10","5","grant, billy","a4babe52-5740-44e4-9ea2-acef4797f127"
"0d52851b-1982-4049-a158-6609f9e03a08","1c7f6257-7e2f-4f48-9afb-3dd954f6d9fd","farm-0026152","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,"1989",NA,NA,"stevens, charles e.; davenport, bruce","a16dc8d8-ff4a-4d62-a684-2937fb292b8d"
"0d9a2c4b-d3f6-40a2-b614-48751a2eb131","f8f2ecb9-d590-4177-bb59-3fcdc761f706","farm-0026151","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,"1989",NA,NA,"stevens, charles e.","a16dc8d8-ff4a-4d62-a684-2937fb292b8d"
"0da05998-3d9a-4d16-9308-65eae8c3ff58","6f4f64cf-bb2f-4702-b6c4-0b425330bdd1","wcuh0010408","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,NA,NA,NA,"570dcca6-a84f-43aa-8053-1a2ac60d9ead"
