"name","lat","long"
"Galax urceolata",35.64,-83.74
"Galax urceolata",35.18,-82.7
"Galax urceolata",35.35,-82.54
"Galax urceolata",37.21,-80.34
"Galax urceolata",37.23,-80.09
"Galax urceolata",35.16,-83
"Galax urceolata",35.76,-83.22
"Galax urceolata",35.72,-78.78
"Galax urceolata",35.64,-83.44
"Galax urceolata",34.65,-85.39
"Galax urceolata",36.89,-76.17
"Galax urceolata",34.66,-84.06
"Galax urceolata",35.15,-82.74
"Galax urceolata",34.17,-84.74
"Galax urceolata",36.51,-82.6
"Galax urceolata",33.47,-85.81
"Galax urceolata",35.22,-82.57
"Galax urceolata",34.79,-83.81
"Galax urceolata",35.6,-81.63
"Galax urceolata",34.95,-82.97
"Galax urceolata",36.52,-82.62
"Galax urceolata",35.34,-82.65
"Galax urceolata",35.61,-82.57
"Galax urceolata",35.58,-82.49
"Galax urceolata",36.63,-81.73
"Galax urceolata",34.73,-83.93
"Galax urceolata",37.28,-80.45
"Galax urceolata",35.09,-83.23
"Galax urceolata",36.41,-80.25
"Galax urceolata",35.93,-81.92
"Galax urceolata",34.91,-83.42
"Galax urceolata",35.64,-83.69
"Galax urceolata",35.59,-83.85
"Galax urceolata",35.55,-83.13
"Galax urceolata",35.68,-83.65
"Galax urceolata",36.1,-82.31
"Galax urceolata",36.04,-81.64
"Galax urceolata",35.67,-83.58
"Galax urceolata",34.95,-82.94
"Galax urceolata",35.9,-81.89
"Galax urceolata",37.37,-80.51
"Galax urceolata",37.28,-80.47
"Galax urceolata",34.95,-82.39
"Galax urceolata",37.59,-79.38
"Galax urceolata",36.99,-80.56
"Galax urceolata",35.66,-83.58
"Galax urceolata",34.94,-82.88
"Galax urceolata",35.36,-82.72
"Galax urceolata",35.11,-84.62
"Galax urceolata",34.94,-83.11
"Galax urceolata",35.08,-83.53
"Galax urceolata",35.09,-82.97
"Galax urceolata",37.37,-80.58
"Galax urceolata",36.38,-80.28
"Galax urceolata",35.31,-82.45
"Galax urceolata",36.88,-81.51
"Galax urceolata",36.51,-83.2
