x,y,species min
419.0,419.0,0.02260105
420.0,420.0,0.025923876
421.0,421.0,0.015851706
422.0,422.0,0.34681877
423.0,423.0,0.04679926
424.0,424.0,0.031812206
425.0,425.0,0.42839804
426.0,426.0,0.02693085
427.0,427.0,0.050555352
428.0,428.0,0.04235532
429.0,429.0,0.027438784
430.0,430.0,0.051684715
431.0,431.0,0.007742637
432.0,432.0,0.24628589
433.0,433.0,0.041662034
434.0,434.0,0.034224555
435.0,435.0,0.033069342
436.0,436.0,0.20642094
437.0,437.0,0.34122667
438.0,438.0,0.16025528
439.0,439.0,0.007885651
440.0,440.0,0.036953326
441.0,441.0,0.0019863476
442.0,442.0,0.03170814
443.0,443.0,0.4594438
444.0,444.0,0.049753547
445.0,445.0,0.009969212
446.0,446.0,0.024979105
447.0,447.0,0.026995951
448.0,448.0,0.044302255
449.0,449.0,0.022399958
450.0,450.0,0.3589333
451.0,451.0,0.05813954
452.0,452.0,0.013895624
453.0,453.0,0.028236113
454.0,454.0,0.100918904
455.0,455.0,0.07699915
456.0,456.0,0.032860607
457.0,457.0,0.27444986
458.0,458.0,0.0248194
459.0,459.0,0.014375799
460.0,460.0,0.021892324
461.0,461.0,0.03740316
462.0,462.0,0.27853182
463.0,463.0,0.20653318
464.0,464.0,0.105048195
465.0,465.0,0.06342737
466.0,466.0,0.05794851
467.0,467.0,0.112712875
468.0,468.0,0.030890249
469.0,469.0,0.047032647
470.0,470.0,0.092854954
471.0,471.0,0.0065644505
472.0,472.0,0.2527624
473.0,473.0,0.1566663
474.0,474.0,0.048605982
