X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1268.0,1268.0,train,5.985631422082999E-4,86.66278773475462,0.7183815373229784
1270.0,1270.0,train,4.3958834713843186E-4,64.32895416059375,0.6519800880844135
1271.0,1271.0,train,4.7223893607568505E-4,69.95718435737281,0.6680548838405417
1272.0,1272.0,train,5.806018459006248E-4,85.03273625239872,0.7121770151384005
1273.0,1273.0,train,1.8963514888858956E-4,30.337087418942456,0.4469547583320404
1274.0,1274.0,train,6.369039870050127E-4,90.26161087912361,0.7307703519000668
1275.0,1275.0,train,5.47651544747338E-4,80.75253989428856,0.7000539605453241
1276.0,1276.0,train,5.017438342851569E-4,74.79068182971257,0.6813548867123056
1277.0,1277.0,train,9.413350787745173E-6,1.7880002520564766,0.03856968763972559
1278.0,1278.0,train,5.915228837970627E-4,85.81013222657579,0.7159817094073062
1279.0,1279.0,train,4.6624893769152696E-4,69.03139869341503,0.6652180157928153
1280.0,1280.0,train,1.2093378593158482E-5,2.5580952688267615,0.049012464623736776
1281.0,1281.0,train,3.004887477454504E-4,44.03238219840623,0.5615182094246306
1282.0,1282.0,train,3.07939472218384E-4,45.1354358339965,0.5675393768577601
1283.0,1283.0,train,3.8780453197515463E-4,56.4555352627788,0.6230271762772932
1284.0,1284.0,train,6.582543692531596E-4,92.26925782815835,0.737207964023085
1285.0,1285.0,train,6.912750534889889E-4,94.52107672601203,0.746579776822219
1286.0,1286.0,train,1.2190089126486875E-4,21.12703385875716,0.3418915754001605
1288.0,1288.0,train,2.0605168846927918E-4,32.60562131526105,0.4675563145253608
1289.0,1289.0,train,9.940621457511836E-5,18.40960684308389,0.29757554003420533
1290.0,1290.0,train,4.4979776336029207E-4,65.91828517272633,0.6571712703796211
1292.0,1292.0,train,5.500408613764524E-4,81.09899260081745,0.7009672735177057
1293.0,1293.0,train,1.7155892499385247E-4,27.808768116396827,0.4223441933772923
1294.0,1294.0,train,1.8619677838246115E-4,29.89277787440375,0.4424362831043301
1296.0,1296.0,train,2.5344174397606855E-4,38.656830040382474,0.5192528763936595
1298.0,1298.0,train,5.454643009637292E-4,80.53408242664614,0.6992129847912908
1299.0,1299.0,train,1.2677422624700338E-4,21.843983878112017,0.3507653717796814
