x,y,species median
692.0,692.0,0.14792456
693.0,693.0,0.025836198
694.0,694.0,0.13832755
695.0,695.0,0.64772487
696.0,696.0,0.26399282
697.0,697.0,0.02015519
698.0,698.0,0.102095835
699.0,699.0,0.04930643
700.0,700.0,0.42805678
701.0,701.0,0.066312626
702.0,702.0,0.025698533
703.0,703.0,0.18701935
704.0,704.0,0.1347949
705.0,705.0,0.25372466
706.0,706.0,0.008787817
707.0,707.0,0.05423271
708.0,708.0,0.042817645
709.0,709.0,0.22977495
710.0,710.0,0.07908794
711.0,711.0,0.08090234
712.0,712.0,0.0056951134
713.0,713.0,0.021883313
714.0,714.0,0.0583688
715.0,715.0,0.01968743
716.0,716.0,0.011949065
717.0,717.0,0.51198184
718.0,718.0,0.05278246
719.0,719.0,0.13275324
720.0,720.0,0.029045317
721.0,721.0,0.01006073
722.0,722.0,0.04610137
723.0,723.0,0.019806582
724.0,724.0,0.09453046
725.0,725.0,0.038177427
726.0,726.0,0.08601637
727.0,727.0,0.53750646
728.0,728.0,0.26400092
729.0,729.0,0.013350878
730.0,730.0,0.05196719
731.0,731.0,0.3731066
732.0,732.0,0.13665289
733.0,733.0,0.04216835
734.0,734.0,0.055290233
735.0,735.0,0.071112186
736.0,736.0,0.043686222
737.0,737.0,0.39527053
738.0,738.0,0.008684551
739.0,739.0,0.076351106
740.0,740.0,0.51708984
741.0,741.0,0.162394
742.0,742.0,0.15430051
743.0,743.0,0.008011319
744.0,744.0,0.025278086
745.0,745.0,0.09912316
746.0,746.0,0.020366412
747.0,747.0,0.030644277
748.0,748.0,0.414045
749.0,749.0,0.009573361
750.0,750.0,0.021110794
751.0,751.0,0.07903726
752.0,752.0,0.020517413
753.0,753.0,0.29458025
754.0,754.0,0.024253268
755.0,755.0,0.394631
756.0,756.0,0.015248705
757.0,757.0,0.15873055
758.0,758.0,0.079225436
759.0,759.0,0.5804483
760.0,760.0,0.06137547
761.0,761.0,0.066776745
762.0,762.0,0.5194336
763.0,763.0,0.20195441
764.0,764.0,0.0036885624
765.0,765.0,0.094392404
766.0,766.0,0.33005244
767.0,767.0,0.01693469
768.0,768.0,0.059738833
