"scientificName","genus","specificEpithet","infraspecificEpithet","ID","occurrenceID","basisOfRecord","eventDate","year","month","day","institutionCode","recordedBy","country","county","stateProvince","locality","latitude","longitude","coordinateUncertaintyInMeters","informationWithheld","habitat","aggregator","accepted_name"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"62b2f104-2741-4a00-b4c2-28361ea3dd73","60c7c923-e1f7-472e-859b-bb6df826cb55","PreservedSpecimen","1939-01-08",1939,1,8,"PH","Bayard Long","United States","Gloucester","New Jersey","Locality: White Oak Branch, ca. 1 mile NE of Piney Hollow Occurrence Remarks: NA Verbatim Locality: NA",39.6,-74.91,872,NA,"moist sandy and peaty pine and oak scrub","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"67c7e73e-266b-435e-a491-3d0660418fca","dc57eda0-3acd-46e2-b025-9a3dc3b83940","PreservedSpecimen","1910-08-28",1910,8,28,"PH","Witmer Stone","United States","Atlantic","New Jersey","Locality: May's Landing to Gravelly Run Occurrence Remarks: NA Verbatim Locality: NA",39.44,-74.71,1537,NA,NA,"iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"6a71d869-f708-4db9-a3ec-f544b77ed386","93064d2a-5a01-4dcc-bb80-95d044dfb6c8","PreservedSpecimen","1889-04-30",1889,4,30,"SIM","Arthur Hollick; N. L. Britton, J. H. R.","United States","Ocean","New Jersey","Locality: Barnegat Occurrence Remarks: NA Verbatim Locality: NA",39.75,-74.22,2329,NA,NA,"iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"6f272bb2-ee53-46cc-93e1-8f07ae7d8094","2d553e93-ba35-4107-a5df-1450cc31add6","PreservedSpecimen","1937-07-14",1937,7,14,"PH","Bayard Long","United States","Burlington","New Jersey","Locality: head of Batsto River, ca. 1.5 mi. SE of Sooy Place Occurrence Remarks: NA Verbatim Locality: NA",39.85,-74.63,1571,NA,"moist, sandy & peaty open pine-scrub","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"7124807c-0406-4132-808f-52044a92f72f","69f7a1f2-c9ec-41bd-9534-5a8ceed8b4ce","PreservedSpecimen","1942-02-22",1942,2,22,"PH","Bayard Long","United States","Ocean","New Jersey","Locality: along Hurricane Brook, ca. 1.5 mi. WSW of Lakehurst Occurrence Remarks: NA Verbatim Locality: NA",40,-74.33,1161,NA,"sandy pine woods","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"722c340a-2cf7-4e82-8923-ddbd0f63d01a","eaf44599-c648-481d-9f5a-592cacbc35f2","PreservedSpecimen","1938-05-08",1938,5,8,"PH","John M. Fogg, Jr.","United States","Monmouth","New Jersey","Locality: along railroad at Macedonia, 2 mi. SW of Eatontown Occurrence Remarks: NA Verbatim Locality: NA",40.29,-74.09,1396,NA,"dry open sandy strip","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"7346a2e6-7791-4bc8-a6d1-b3b7827eb21d","6affadcd-a613-40a6-8656-af821fbf8081","PreservedSpecimen","1937-11-07",1937,11,7,"PH","Bayard Long","United States","Burlington","New Jersey","Locality: NE Calico Occurrence Remarks: NA Verbatim Locality: NA",39.69,-74.48,1952,NA,"sandy, pine-and-oak scrub","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"75f3328b-8070-4ef8-8e3c-b3a352ede2e1","bcf2946e-44b9-444f-8418-f8a008dcbe36","PreservedSpecimen","1941-02-16",1941,2,16,"PH","Bayard Long","United States","Middlesex","New Jersey","Locality: near South River, ca. 1.5 mi. N of South River Occurrence Remarks: NA Verbatim Locality: NA",40.46,-74.39,1767,NA,"dry, sandy, open pine and oak scrub","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"769468c5-11ad-492d-88d7-a04cfcd27327","012f30ad-98a3-4ace-98ab-3e604243afdf","PreservedSpecimen","1938-05-15",1938,5,15,"PH","Bayard Long","United States","Monmouth","New Jersey","Locality: ca. 1 mile N of Holmeson Occurrence Remarks: NA Verbatim Locality: NA",40.18,-74.42,1023,NA,"dry, sandy, pitch pine & oak woods","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"76aed4f4-1781-4711-a916-2e1867e4dc91","d417c335-528b-46d1-93af-7885f74da598","PreservedSpecimen","1938-05-15",1938,5,15,"PH","Bayard Long","United States","Monmouth","New Jersey","Locality: just E of Charleston Springs Occurrence Remarks: fls pink Verbatim Locality: NA",40.2,-74.36,542,NA,"dry, sandy open thicket","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"79a7955c-71f0-4e25-b39d-5c11939c5506","76943fa8-48d4-4482-b90a-ba7bdb63aa91","PreservedSpecimen","1926-06-15",1926,6,15,"PH","Samson McDowell","United States","Burlington","New Jersey","Locality: near Chatsworth Occurrence Remarks: NA Verbatim Locality: NA",39.82,-74.53,1852,NA,"pine barrens","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"7a9ed355-742f-4b97-97a5-d7cec01115d4","44BE83B8-F71D-401E-88DC-3244B516EE11","PreservedSpecimen","1872-06-06",1872,6,6,"CM","Porter, T.C.","United States","Ocean","New Jersey","Locality: 14 mi E of Bordertown Occurrence Remarks: NA Verbatim Locality: NA",40.14,-74.44,4645,NA,"pine barrens","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"7addbefc-479b-4dc4-a810-aa07f4dbf1cd","42da22ae-91b2-4c2d-8606-541516aa4e1f","PreservedSpecimen","1910-10-04",1910,10,4,"PH","Bayard Long","United States","Ocean","New Jersey","Locality: Waretown, NW of Waretown Jnc., along Tuckerton R.R. Occurrence Remarks: NA Verbatim Locality: NA",39.8,-74.22,2149,NA,"woodsmargin of dry sandy woods","iDigBio","Pyxidanthera barbulata"
