"name","basis","date","institutionID","collectionCode","collectionID","country","county","state","locality","Latitude","Longitude","ID","coordinateUncertaintyInMeters","informationWithheld","habitat","prov","spocc.latitude","spocc.longitude","spocc.prov","spocc.date","spocc.name"
"Pyxidanthera barbulata var. barbulata","PRESERVED_SPECIMEN","1973-04-07",NA,NA,"17f2d0fa-39a6-4465-8055-1d6fc12eeda2","United States of America","Brunswick","North Carolina",NA,NA,NA,"2234339589",NA,NA,NA,"gbif",NA,NA,"gbif",1973-04-07,"Pyxidanthera barbulata var. barbulata"
"Pyxidanthera barbulata var. barbulata","PRESERVED_SPECIMEN","1973-04-07",NA,NA,"17f2d0fa-39a6-4465-8055-1d6fc12eeda2","United States of America","Brunswick","North Carolina",NA,NA,NA,"2234339589",NA,NA,NA,"gbif",NA,NA,"gbif",1973-04-07,"Pyxidanthera barbulata var. barbulata"
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1973-04-07",NA,"Botany","a3883acd-bc7d-40f2-a6e4-372a3435e5d1","United States of America","Columbus","North Carolina","NC 130, 2.2 mi S of junction with Exum Road, Green Swamp",NA,NA,"2859104262",NA,NA,NA,"gbif",NA,NA,"gbif",1973-04-07,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1973-04-29",NA,"Botany","a3883acd-bc7d-40f2-a6e4-372a3435e5d1","United States of America","Ocean","New Jersey","0.5 mi NE of Bambur",39.907742,-74.31541,"2859382402","1725",NA,NA,"gbif",39.907742,-74.31541,"gbif",1973-04-29,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1971-05-01",NA,"CONN",NA,"United States of America","Ocean County","New Jersey","New Jersey Pine Barrens, Ocean County",39.95,-74.48305,"415983484",NA,NA,"Sandy soil","gbif",39.95,-74.48305,"gbif",1971-05-01,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1971-05-01",NA,"CONN",NA,"United States of America","Ocean County","New Jersey","New Jersey Pine Barrens, Ocean County",39.95,-74.48305,"415983484",NA,NA,"Sandy soil","gbif",39.95,-74.48305,"bison",1971-05-01,"Pyxidanthera barbulata"
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1970-03-06",NA,"OLO","3dd7aa0e-256c-4aca-b022-94f6b55f0f5d","United States of America","New Hanover","North Carolina",NA,NA,NA,"2265952402",NA,NA,NA,"gbif",NA,NA,"gbif",1970-03-06,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1970-03-06",NA,"OLO","3dd7aa0e-256c-4aca-b022-94f6b55f0f5d","United States of America","New Hanover","North Carolina",NA,NA,NA,"2265952402",NA,NA,NA,"gbif",34.181316,-77.86567,"bison",1970-03-06,"Pyxidanthera barbulata"
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1968-07-11",NA,"MO","http://biocol.org/urn:lsid:biocol.org:col:15859","United States of America","Burlington","New Jersey","2 miles north of Batsto. Pine barrens.",NA,NA,"2268920752",NA,NA,NA,"gbif",NA,NA,"gbif",1968-07-11,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1968-07-11",NA,"MO","http://biocol.org/urn:lsid:biocol.org:col:15859","United States of America","Burlington","New Jersey","2 miles north of Batsto. Pine barrens.",NA,NA,"2268920752",NA,NA,NA,"gbif",39.877693,-74.668205,"bison",1968-07-11,"Pyxidanthera barbulata"
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1967-06-10","Naturalis Biodiversity Center","Botany",NA,"United States of America",NA,NA,"Omgeving New York.",NA,NA,"2516311405",NA,NA,NA,"gbif",NA,NA,"gbif",1967-06-10,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1967-06-10","Naturalis Biodiversity Center","Botany",NA,"United States of America",NA,NA,"Omgeving New York.",NA,NA,"2516311405",NA,NA,NA,"gbif",NA,NA,"bison",1967-06-10,"Pyxidanthera barbulata"
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1966-04-25",NA,"MAIN","a13355a1-1ccc-46d9-9672-521d8d668804","United States of America","Brunswick County","North Carolina","Locality Not Recorded",NA,NA,"1849118218",NA,NA,"A few miles S Wilmington.","gbif",NA,NA,"gbif",1966-04-25,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1966-04-25",NA,"MAIN","a13355a1-1ccc-46d9-9672-521d8d668804","United States of America","Brunswick County","North Carolina","Locality Not Recorded",NA,NA,"1849118218",NA,NA,"A few miles S Wilmington.","gbif",NA,NA,"bison",1966-04-25,"Pyxidanthera barbulata"
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1966-09-27",NA,"MAIN","a13355a1-1ccc-46d9-9672-521d8d668804","United States of America","Harnett County","North Carolina","Locality Not Recorded",NA,NA,"1849118447",NA,NA,"Sandhills at Spout Springs.","gbif",NA,NA,"gbif",1966-09-27,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1966-09-27",NA,"MAIN","a13355a1-1ccc-46d9-9672-521d8d668804","United States of America","Harnett County","North Carolina","Locality Not Recorded",NA,NA,"1849118447",NA,NA,"Sandhills at Spout Springs.","gbif",NA,NA,"bison",1966-09-27,"Pyxidanthera barbulata"
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1965-05-08",NA,NA,"17f2d0fa-39a6-4465-8055-1d6fc12eeda2","United States of America","Isle of Wight","Virginia","Pine barrens 5 miles south of Zuni.",NA,NA,"2234461343",NA,NA,NA,"gbif",NA,NA,"gbif",1965-05-08,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1965-05-08",NA,NA,"17f2d0fa-39a6-4465-8055-1d6fc12eeda2","United States of America","Isle of Wight","Virginia","Pine barrens 5 miles south of Zuni.",NA,NA,"2234461343",NA,NA,NA,"gbif",36.90673,-76.70913,"bison",1965-05-08,"Pyxidanthera barbulata"
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1965-07-04",NA,"CONN",NA,"United States of America","Ocean County","New Jersey","New Jersey Pine Barrens, Ocean County",39.95,-74.48305,"415926371",NA,NA,"Damp","gbif",39.95,-74.48305,"gbif",1965-07-04,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1965-07-04",NA,"CONN",NA,"United States of America","Ocean County","New Jersey","New Jersey Pine Barrens, Ocean County",39.95,-74.48305,"415926371",NA,NA,"Damp","gbif",39.95,-74.48305,"bison",1965-07-04,"Pyxidanthera barbulata"
