"name","basis","date","institutionID","collectionCode","collectionID","country","county","state","locality","Latitude","Longitude","ID","coordinateUncertaintyInMeters","informationWithheld","habitat","prov","spocc.latitude","spocc.longitude","spocc.prov","spocc.date","spocc.name"
"galax aphylla","PreservedSpecimen",NA,NA,NA,"8096c73b-8c2c-4a78-8cef-24ba658a259a","united states",NA,"virginia",NA,NA,NA,"07f62a77-43af-4a58-8c87-5cfb211e5acc",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax aphylla"
"galax urceolata","PreservedSpecimen",NA,NA,NA,"f47e53b3-aa90-449a-87df-64f4d442f687","united states",NA,"virginia",NA,NA,NA,"083637c1-99e6-4135-9475-05a53f78e6ea",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax urceolata"
"galax urceolata","PreservedSpecimen",NA,NA,"vascular plants","fe609977-5b39-49c5-905a-32ca83233244","united states","buncombe","north carolina",NA,NA,NA,"08528918-c344-429e-9ab9-55d515d15d72",NA,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber",NA,"idigbio",NA,NA,"idigbio",1967-01-15,"galax urceolata"
"galax aphylla","PreservedSpecimen",NA,NA,"vascular plants","17f2d0fa-39a6-4465-8055-1d6fc12eeda2","united states","meriwether","georgia",NA,NA,NA,"08d649f1-fff1-49a0-aeac-47e75f800bfb",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax aphylla"
"galax urceolata","PreservedSpecimen","1987-08-15",NA,"vascular plants","fe609977-5b39-49c5-905a-32ca83233244","united states","dekalb","alabama","DeSoto State Park",NA,NA,"08ee176d-0275-44ae-81ac-f09e07fef4d5",NA,NA,NA,"idigbio",NA,NA,"idigbio",1987-08-15,"galax urceolata"
"galax urceolata","PreservedSpecimen","2019-10-05",NA,NA,"1d328472-3b59-43d8-834c-385410415424","united states","hawkins","tennessee","Holston Army Ammunition Plant;",NA,NA,"09c1b232-8ebd-42b3-8325-e0636ddce785",NA,NA,"near ridge of Holston River Mtn. on Bays Mtn.; along Indian Pipes Tr. and Bear Run Tr. on HAAP property","idigbio",NA,NA,"idigbio",2019-10-05,"galax urceolata"
"galax urceolata","PreservedSpecimen","1977-05-19",NA,NA,"f62b4819-3195-4053-a2dc-07431438f3e6","united states","bell","kentucky","Appalachian Mountains; Cumberland Mountain. Adjacent to Shillalah Creek.",36.66,-83.58,"09d81681-42db-467d-ac3b-cabad61a0b77",NA,NA,NA,"idigbio",36.66,-83.58,"idigbio",1977-05-19,"galax urceolata"
"galax aphylla","PreservedSpecimen",NA,"urn:lsid:biocol.org:col:15463","us","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8","united states",NA,"virginia","Mts. Va.",NA,NA,"0a040bea-f2be-4fbc-ab5a-b8d6c39a7e68",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax aphylla"
"galax urceolata","PreservedSpecimen",NA,NA,NA,"f47e53b3-aa90-449a-87df-64f4d442f687","united states",NA,"virginia",NA,NA,NA,"0a1f148a-8723-40e5-9b71-245b2e1c29f2",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax urceolata"
"galax urceolata","PreservedSpecimen","1968-04-17",NA,NA,"urn:lsid:biocol.org:col:15610","united states","haralson county","georgia","Haralson County, GA",NA,NA,"0a2a683f-5f12-47a0-aefb-9a252045fb7a",NA,NA,NA,"idigbio",NA,NA,"idigbio",1968-04-17,"galax urceolata"
