"name","basis","date","institutionID","collectionCode","collectionID","country","county","state","locality","Latitude","Longitude","ID","coordinateUncertaintyInMeters","informationWithheld","habitat","prov","spocc.latitude","spocc.longitude","spocc.prov","spocc.date","spocc.name"
"Pyxidanthera brevifolia","specimen","1972-01-01","http://herbarium.unc.edu","University of North Carolina at Chapel Hill Herbarium (NCU)","http://sernecportal.org/portal/collections/misc/collprofiles.php?collid=206","US","Harnett","North Carolina",NA,35.3686,-78.869316,"2234463988",NA,NA,NA,"bison",35.263297,-79.050479,"gbif",1972-03-18,"Pyxidanthera barbulata var. brevifolia (Wells) H.E.Ahles"
"Pyxidanthera brevifolia","specimen","1972-01-01","http://herbarium.unc.edu","University of North Carolina at Chapel Hill Herbarium (NCU)","http://sernecportal.org/portal/collections/misc/collprofiles.php?collid=206","US","Harnett","North Carolina",NA,35.3686,-78.869316,"2234463988",NA,NA,NA,"bison",35.3686,-78.869316,"bison",1972-01-01,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","specimen","1928-01-01","http://herbarium.unc.edu","University of North Carolina at Chapel Hill Herbarium (NCU)","http://sernecportal.org/portal/collections/misc/collprofiles.php?collid=206","US","Harnett","North Carolina",NA,35.3686,-78.869316,"2234462423",NA,NA,NA,"bison",NA,NA,"gbif",1928-01-01,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","specimen","1928-01-01","http://herbarium.unc.edu","University of North Carolina at Chapel Hill Herbarium (NCU)","http://sernecportal.org/portal/collections/misc/collprofiles.php?collid=206","US","Harnett","North Carolina",NA,35.3686,-78.869316,"2234462423",NA,NA,NA,"bison",35.3686,-78.869316,"bison",1928-01-01,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","unknown","1980-04-01","http://www.natureserve.org","NatureServe","http://services.natureserve.org/ipt/resource.do?r=occurrences","US","Chesterfield","South Carolina",NA,34.63978,-80.158714,"1274085592",NA,NA,NA,"bison",NA,NA,"gbif",1980-04-01,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","unknown","1980-04-01","http://www.natureserve.org","NatureServe","http://services.natureserve.org/ipt/resource.do?r=occurrences","US","Chesterfield","South Carolina",NA,34.63978,-80.158714,"1274085592",NA,NA,NA,"bison",34.63978,-80.158714,"bison",1980-04-01,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","specimen",NA,"https://herbarium.utk.edu/","University of Tennessee Herbarium","http://sernecportal.org/portal/collections/misc/collprofiles.php?collid=312","US","Harnett","North Carolina",NA,35.3686,-78.869316,"1990061897",NA,NA,NA,"bison",NA,NA,"gbif",NA,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","specimen",NA,"https://herbarium.utk.edu/","University of Tennessee Herbarium","http://sernecportal.org/portal/collections/misc/collprofiles.php?collid=312","US","Harnett","North Carolina",NA,35.3686,-78.869316,"1990061897",NA,NA,NA,"bison",35.3686,-78.869316,"bison",NA,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","observation","2011-01-27","http://www.inaturalist.org","iNaturalist.org","https://www.inaturalist.org/observations?created_d2=2019-03-28T18%3A00%3A45-07%3A00&license%5B%5D=CC0&license%5B%5D=CC-BY&license%5B%5D=CC-BY-NC&quality_grade=research","US","Cumberland","North Carolina","North Carolina, US",35.058563,-79.06357,"2529246001","28734.0",NA,NA,"bison",35.058563,-79.063565,"gbif",2011-01-27,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","observation","2011-01-27","http://www.inaturalist.org","iNaturalist.org","https://www.inaturalist.org/observations?created_d2=2019-03-28T18%3A00%3A45-07%3A00&license%5B%5D=CC0&license%5B%5D=CC-BY&license%5B%5D=CC-BY-NC&quality_grade=research","US","Cumberland","North Carolina","North Carolina, US",35.058563,-79.06357,"2529246001","28734.0",NA,NA,"bison",35.058563,-79.06357,"bison",2011-01-27,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","specimen","2018-05-21","http://www.nmnh.si.edu/","National Museum of Natural History, Smithsonian Institution","http://collections.nmnh.si.edu/ipt/resource?r=nmnh_extant_dwc-a","US","Chesterfield","South Carolina","Sugarloaf Mountain Recreational Area; Sand Hills State Forest, 8 air km NNW of Patrick (US1)",34.5874,-80.1184,"1852112920",NA,NA,NA,"bison",34.5874,-80.1184,"gbif",2018-05-21,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","specimen","2018-05-21","http://www.nmnh.si.edu/","National Museum of Natural History, Smithsonian Institution","http://collections.nmnh.si.edu/ipt/resource?r=nmnh_extant_dwc-a","US","Chesterfield","South Carolina","Sugarloaf Mountain Recreational Area; Sand Hills State Forest, 8 air km NNW of Patrick (US1)",34.5874,-80.1184,"1852112920",NA,NA,NA,"bison",34.5874,-80.1184,"bison",2018-05-21,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","observation","1992-02-20","http://www.natureserve.org","NatureServe","http://services.natureserve.org/ipt/resource.do?r=occurrences","US","Hoke","North Carolina",NA,35.01736,-79.23711,"1274648102",NA,NA,NA,"bison",NA,NA,"gbif",1992-02-20,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","observation","1992-02-20","http://www.natureserve.org","NatureServe","http://services.natureserve.org/ipt/resource.do?r=occurrences","US","Hoke","North Carolina",NA,35.01736,-79.23711,"1274648102",NA,NA,NA,"bison",35.01736,-79.23711,"bison",1992-02-20,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","observation","1999-12-09","http://www.natureserve.org","NatureServe","http://services.natureserve.org/ipt/resource.do?r=occurrences","US","Cumberland","North Carolina",NA,35.04859,-78.82744,"1274648634",NA,NA,NA,"bison",NA,NA,"gbif",1999-12-09,"Pyxidanthera brevifolia Wells"
