"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","datecollected","collector","recordset"
"1e651b96-a9c9-48fd-9daf-cb4c0deb8a54","47e109b9-297a-4447-bdb9-6629d54fc068","348659","diapensiaceae","diapensia","diapensia lapponica ssp. obovata","russia","kuril archipelago",155.228611,50.056667,"1997-08-15T00:00:00+00:00","rod crawford","8b0c1f4b-9de7-4521-98c2-983e0bfd33c7"
"1e6b4b45-6373-4a66-8133-ed068188c200","593bd868-ffcd-4b4c-832a-f0e19826d9ec","farm-0026160","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,"a16dc8d8-ff4a-4d62-a684-2937fb292b8d"
"1e7178d2-cc93-47a1-a114-e6fc9bbae9d7","5093d578-5172-4dac-a8de-2c44b138e839","clems0042856","diapensiaceae","galax","galax urceolata","united states","south carolina",NA,NA,NA,NA,"264c48ec-8636-451f-a7e0-74131bc6f84c"
"1e74d47f-5674-4dce-bde0-148db6579b7e","http://arctos.database.museum/guid/uam:herb:154531?seid=837427","uam:herb:154531","diapensiaceae","diapensia","diapensia lapponica",NA,NA,NA,NA,"1800-01-01T20:08:00-05:00","collector(s): unknown","b6ec6203-09db-4d6e-8cba-ee4bebd2934c"
"1e787942-d8fe-4723-a85a-0ac2e8e3aa0b","ffc44644-5baa-4934-b0d2-47d0e969a8a6","ncu00042373","diapensiaceae","shortia","shortia galacifolia","united states","south carolina",NA,NA,"1937-04-10","barksdale, walter lane; correll, donovan s.","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"1e7c4753-9834-4c16-be67-fc7ee84411f4","http://coldb.mnhn.fr/catalognumber/mnhn/p/p04519664","p04519664","diapensiaceae","diapensia","diapensia lapponica l.",NA,NA,NA,NA,NA,NA,"616857b7-f952-44ef-9b6f-576dc1e65b51"
"1e866d18-aed9-4c65-99eb-cb8c085aed8f","9fe757de-d5f6-466a-a9f1-131e6e15e6ee","uvmvt259163","diapensiaceae","galax","galax aphylla","united states","south carolina",-82.901335,34.922924,"1986-04-23T00:00:00+00:00","hill, s. r.","3027c437-cdb3-4072-9410-5a46ec3b1fd5"
"1e872655-8204-4579-97ff-43d1d70d7f8b","ups:bot:v-210597","v-210597","diapensiaceae","diapensia","diapensia lapponica","norway","sør-trøndelag",NA,NA,"1882-07-10T00:00:00+00:00","a.y. grevillius","62a36329-6b82-48bc-94d8-1cb9adb91ab5"
"1e890d4a-17ad-4e89-9bf2-e5a827ac4c83","ups:bot:v-210538","v-210538","diapensiaceae","diapensia","diapensia lapponica","sweden","pite lappmark",NA,NA,"1915-07-04T00:00:00+00:00","arthur liljedahl","62a36329-6b82-48bc-94d8-1cb9adb91ab5"
"1e98c3d7-0762-4ac7-88e1-f72a1344649e","fff11747-8e96-480e-b533-74864e97864e","brit797828","diapensiaceae","galax","galax",NA,NA,NA,NA,NA,NA,"70abba3e-5f2a-4276-87f3-261706e24453"
"1ea0e043-1447-4e72-afa0-d65c64f7e755","6d93a9cc-82bb-4bcf-834e-bb43436d2e9a","vpi-v-0060087","diapensiaceae","pyxidanthera","pyxidanthera barbulata","united states","virginia",NA,NA,NA,NA,"471835cc-feb6-4d05-a8d1-62ce71399326"
"1eaef57d-42da-4416-80ce-c9893241e8fa","5b69e092-59b2-4ad5-b52c-bba0579dff42","4227339","diapensiaceae","galax","galax aphylla l.",NA,NA,NA,NA,NA,NA,"36d35b23-113e-4633-90ec-19d265a3b5f6"
"1eb79421-026d-4aeb-bdb5-5960e272b144","7fe9689a-7f8b-4be3-b9e0-f6c63cf59aee","ucht033785","diapensiaceae","shortia","shortia galacifolia","united states","tennessee",NA,NA,NA,NA,"120d557c-c5be-474d-98f0-1ba00ae16b40"
