"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","datecollected","collector","recordset"
"18c1e796-a440-4652-b23b-98af8dbed24a","afc6e9fa-8fdd-486d-8bf6-a1bdd41ee567","duke10095598","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"19086b17-f336-474a-9140-e37d69c09fc1","1d0937c4-7332-41b5-9cd0-0ef6d0cb7746","ga059185","diapensiaceae","galax","galax urceolata","united states","georgia",NA,NA,"1977-04-30T00:00:00+00:00","muir, m","beab5209-9628-4d4d-851e-2bc9bb1a0105"
"1934a100-f378-4a64-9fee-1ce6dd8c1d59","8fc3680f-7223-4fe6-9b34-2ccc7882abea","farm-0026155","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,"a16dc8d8-ff4a-4d62-a684-2937fb292b8d"
"1942dc2f-bcc0-41dc-843a-e56b1a1ff09b","fe7480b1-e745-4de7-b266-fa0d9a3cbac3","duke10095594","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"19858b64-c522-407a-81fd-fa26923fd034","a4c3ef22-c231-48a9-b4e9-5f366a690ff7","wcuh0010422","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,"570dcca6-a84f-43aa-8053-1a2ac60d9ead"
"19999159-8fec-4076-8a14-64455945b1dc","15561556-018b-4ba9-a822-204f721f5b20","cm149924","diapensiaceae","galax","galax urceolata","united states","kentucky",NA,NA,"1942-09-29T00:00:00+00:00","boardman, c.m.","db6c3db9-1e6d-4def-af29-33aa0339bfa9"
"19ff54a4-43a5-4097-9db0-a9b3ca6647b8","3e982cc2-c498-4eb3-95da-e2fa85b78a15","ncu00443061","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,"1897-05-01","townsend, edward candee","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"1a89093e-dbc0-430e-915d-77963d35a1d4","b0715267-3149-423d-8cab-a2fa0d1d86f3",NA,"diapensiaceae","galax","galax urceolata","united states","tennessee",NA,NA,"2009-10-09","loy r. phillippe & james r. payne","f0174bc9-0cca-450e-a941-655d80040139"
"1ac49c15-b4d4-42fa-ae83-c9acb140e773","c5b48c3c-9ea4-4172-99d3-3ab9a1e8e455","clems0042869","diapensiaceae","galax","galax urceolata","united states","south carolina",NA,NA,"1975-10-30T00:00:00+00:00","j. s. lewis","264c48ec-8636-451f-a7e0-74131bc6f84c"
"1ad76e06-a036-4a92-a67e-8ee44130e7dd","b7b552ee-a750-4bac-8638-e6642a0f054b","ga059191","diapensiaceae","galax","galax urceolata","united states","georgia",-84.581149,34.185619,"1948-06-13T00:00:00+00:00","duncan, w","beab5209-9628-4d4d-851e-2bc9bb1a0105"
"1b04ab76-7b9f-4b15-a48a-ae6aeef8aabb","1b27041e-c4be-4749-8f2c-d8f6a4f59edb","gmuf-0030710","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,"1995-01-13","gary p. fleming","e794b292-4a94-471e-ab84-6aaef1fea1b3"
"1bc36e88-6da1-4d95-9825-a0b300922c9e","fd42fefc-4930-467f-b8de-8397fd12687b","ga202463","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,"beab5209-9628-4d4d-851e-2bc9bb1a0105"
"1c1de58a-547a-4825-9ea7-8f4b83305620","d467f174-1a91-42ad-a8ab-46b7df173496","ncu00436136","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,"4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"1c3147df-bd48-47e1-a266-cb18c11032e9","53a763e9-5576-4441-ad81-cf120cd405b1","cm149912","diapensiaceae","galax","galax urceolata","united states","tennessee",NA,NA,"1954-06-18T00:00:00+00:00","henry, l.k.","db6c3db9-1e6d-4def-af29-33aa0339bfa9"
"1c7564f3-2ec9-4c35-a6d8-22ea609c9abe","d7a0eeb2-1f86-4ea5-afb1-f55a3dcf610d","duke10095585","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"1c81f694-11a1-41e9-a195-c8e03ad50ac4","b9f29a33-f5ce-40c8-9627-704fa3bd271f","clems0065620","diapensiaceae","galax","galax urceolata","united states","south carolina",NA,NA,NA,NA,"264c48ec-8636-451f-a7e0-74131bc6f84c"
"1cbfbf17-f737-4916-94de-517ba5ec1858","c18afec7-0612-4cec-9e86-4f7e601c95a6","no0092172","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,"1933-01-15","margaret potts","4523e216-ee13-4b15-a3f7-a6fd56431604"
"1d2d732d-6ffc-4dd0-be74-1eae365ff5a8","3c235fee-eaa0-4cae-be0c-010e6ed946de","cm149906","diapensiaceae","galax","galax urceolata","united states","south carolina",-83.019594,34.88037,"1953-04-20T00:00:00+00:00","henry, l.k.; beer, f.h.","db6c3db9-1e6d-4def-af29-33aa0339bfa9"
"1d5bae67-7eec-47d2-99d2-d05a78dfc8ca","5f0d9869-fdbf-41ae-b929-171460346a30","ga059194","diapensiaceae","galax","galax urceolata","united states","georgia",NA,NA,"1939-04-10T00:00:00+00:00","jones, h","beab5209-9628-4d4d-851e-2bc9bb1a0105"
"1dec95c1-d180-46a0-9904-d630117c90b2","c14192d1-5c47-4f1a-a415-15f7f524ff81","odu00020342","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,"1966-01-14","a.m. harvill","0038ce2e-43bb-4f70-8dd6-dca34efd3fca"
"1e4db122-fab2-432a-b4bf-e912b6ea153c","9b8f6fe1-b869-4a8b-948d-9a7fbb59547d","duke10095584","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"1e6b4b45-6373-4a66-8133-ed068188c200","593bd868-ffcd-4b4c-832a-f0e19826d9ec","farm-0026160","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,"a16dc8d8-ff4a-4d62-a684-2937fb292b8d"
"1e7178d2-cc93-47a1-a114-e6fc9bbae9d7","5093d578-5172-4dac-a8de-2c44b138e839","clems0042856","diapensiaceae","galax","galax urceolata","united states","south carolina",NA,NA,NA,NA,"264c48ec-8636-451f-a7e0-74131bc6f84c"
"1f068d21-87f4-45bb-8500-8ec5bf5064cc","1e9267e6-8469-4184-a651-b44141b8404d","31234100396256","diapensiaceae","galax","galax urceolata","united states","kentucky",NA,NA,"1999-05-07T00:00:00+00:00","ronald l. jones","20360fae-574a-4d63-b9f6-47b1cc07fd22"
"1f50811b-6ec1-4d9c-a004-021b613b2199","84edd80d-5c25-4bc5-a319-407160fa9329","wcuh0010431","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,"570dcca6-a84f-43aa-8053-1a2ac60d9ead"
"1f8210da-8719-4749-ab28-5377b8a45683","8ccbdc9d-7bb3-4cd4-8e07-56e8e64b9341","263082","diapensiaceae","galax","galax urceolata","united states","north carolina",-83.1918,35.06282,NA,"stein servick","781fd581-7b93-471e-a025-413e4bcd8491"
"1fd85d3e-7105-4a82-8449-3d56cb2b8f2a","557c9ce7-f203-4226-98af-7fb9bc3153ac","vpi-v-0059459","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,"471835cc-feb6-4d05-a8d1-62ce71399326"
"202a7159-de6f-45ca-a201-5973b573cc08","18d29d9c-b665-460b-be02-c7d6500af0be","vpi-v-0059463","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,"471835cc-feb6-4d05-a8d1-62ce71399326"
"203231f0-2bfb-475b-8c32-2ac8c0eea3a8","6becf53c-91f3-4fad-9234-bae9081dba79","vpi-v-0059492","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,"471835cc-feb6-4d05-a8d1-62ce71399326"
"2040bffd-4a32-4b39-9818-77ddb80dbb96","cf419185-cf80-461b-af6f-ffc537993013","duke10095628","diapensiaceae","galax","galax urceolata","united states","kentucky",NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"2158cc75-2e0d-4b17-8cb3-f337f9453879","be5e5b53-590e-4f2b-bfd0-60a31b372db4","duke10095632","diapensiaceae","galax","galax urceolata","united states","alabama",NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"21aacd10-be10-443e-8f77-e943129ced70","9d0b1b42-477d-4983-8b52-ea3614273da6","ga059165","diapensiaceae","galax","galax urceolata","united states","georgia",NA,NA,"1978-05-30T00:00:00+00:00","digioia, h","beab5209-9628-4d4d-851e-2bc9bb1a0105"
"222e3856-ad04-4ec3-96ff-a5caf34296a7","fbd34ec3-01d6-4691-bf29-00dd145582d0","duke10095583","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"223565f4-9bb1-4c1d-a599-6c82eda62b37","bb7d4379-eb60-48d1-bb2f-8f3205c9d8a3","263100","diapensiaceae","galax","galax urceolata","united states","north carolina",-81.46065,36.40058,NA,"stein servick","781fd581-7b93-471e-a025-413e4bcd8491"
"224fe1cb-533f-4db4-93e1-41065fedec8f","dc421931-100e-4f4c-bda6-bec3601784f9","etsu015775","diapensiaceae","galax","galax urceolata","united states","tennessee",NA,NA,NA,NA,"21b563bc-70c2-46d5-bce8-2489db2db3d8"
"23bf5754-90ad-4054-9e4f-f2ae4cbf5a30","4ed20941-7b07-4990-8e8c-8dc9b83af9ef","vpi-v-0060081","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,"471835cc-feb6-4d05-a8d1-62ce71399326"
"240cfc13-1f00-4c73-b94f-0ef5a5248c30","11d6dfa1-2970-45b4-a216-f703b2ffdc42","ncu00080600","diapensiaceae","galax","galax urceolata","united states","south carolina",NA,NA,"1982-05-25T00:00:00+00:00","newberry, gillian","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"24698fa7-3353-4720-a585-ca3f810a0aae","88a8550f-e9a8-4e95-97a5-a04503906451","wcuh0010413","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,"570dcca6-a84f-43aa-8053-1a2ac60d9ead"
"24873a41-b3d4-40e4-8897-b3eec69d145a","urn:uuid:3a35aecd-6173-4690-9c49-468d4ee6bf6e","000105461","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,"ddef79ec-043c-4027-9876-c4a298feff6d"
"248fcde2-c127-42cc-8adc-03f80fd54c1e","281768f3-150a-48f5-b3cd-dbf3079d03a7","clems0042891","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,"1980-03-14","l. a. churchill","264c48ec-8636-451f-a7e0-74131bc6f84c"
"24ca8f80-420a-4ef8-9853-bc63b84e8adf","e4d89659-9e6f-471a-917d-4421a33e34d4","vpi-v-0059454","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,"471835cc-feb6-4d05-a8d1-62ce71399326"
"24ec15ad-a1cc-4984-846c-6a3087241f33","fb96b432-b5a7-4530-949c-304c3071ee4c","wcuh0010425","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,"570dcca6-a84f-43aa-8053-1a2ac60d9ead"
"24f558bc-4f90-425b-980b-c3f6b3ff7e07","d0253c34-0d2e-4005-9089-9c093f129e68","ga059175","diapensiaceae","galax","galax urceolata","united states","georgia",NA,NA,"1938-04-17T00:00:00+00:00","pyron, j; mcvaugh, r","beab5209-9628-4d4d-851e-2bc9bb1a0105"
"2501e7a3-0d00-4013-84a9-448cc4aa8140","7a0f577f-d445-4f1a-be10-1046b0a9b02a","ucht045486","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,"120d557c-c5be-474d-98f0-1ba00ae16b40"
"251e83a5-f429-48cb-b0e5-49cf860665ae","45798460-27a5-11e3-8d47-005056be0003","lsu00085810","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,"1967-12-19","fred c. james","4523e216-ee13-4b15-a3f7-a6fd56431604"
"25365977-f546-4efb-8a3a-ac9a123756d7","5e7d9325-43db-4b12-8e85-0c4c55720f76","hbsh0000422","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,"1899-01-14","wheeler, a. s.","40d35f62-cf89-488a-bad3-66e66d38c10c"
"25599fa5-dd7d-464f-9ed2-c3773ec8a254","f6fb8c80-ca77-43b1-b45a-3a18752e3729","duke10095629","diapensiaceae","galax","galax urceolata","united states","tennessee",NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"25c17f22-822c-4968-a982-7c4cff6b2a66","e4ecaa58-31eb-443d-87cd-6843dc168b5f","duke10095613","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"25c98833-7812-48da-b3a6-3920dc5ec03d","7a8a698f-34b4-4d7a-8e41-973082e15e24","clems0042861","diapensiaceae","galax","galax urceolata","united states","south carolina",NA,NA,"1973-10-19T00:00:00+00:00","j. d. griffin","264c48ec-8636-451f-a7e0-74131bc6f84c"
"2669fcff-892d-44b8-b1f0-df79efab2d95","66562b12-5a8d-4eb3-8773-f459a0672444","vpi-v-0059499","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,"471835cc-feb6-4d05-a8d1-62ce71399326"
"267e40af-919e-4249-991e-584fbf3f5e51","2b9fa1dd-6a0d-4a9d-82a8-81d60ef0a4d3","vpi-v-0060056","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,"471835cc-feb6-4d05-a8d1-62ce71399326"
"26c7dfda-b72c-4bc9-aa9b-3fea8a645958","52d6127f-6a8d-4a9f-962c-e718fd950e26","clems0042885","diapensiaceae","galax","galax urceolata","united states","georgia",NA,NA,"1996-05-05T00:00:00+00:00","w. g. noel","264c48ec-8636-451f-a7e0-74131bc6f84c"
"2703c80d-3307-4c0f-a652-5050c7315038","urn:uuid:f70bc38d-676a-4bbd-a9c2-8cc688ae8195","vsc0001505","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,"1988-06-17T00:00:00+00:00","richard  carter","76fd34da-4892-4821-858d-98fe9e28ba8b"
"27e6c523-971a-45e3-85b0-7bacacd462e2","aecb7b1c-08ea-47ca-8ea7-0fcbaf423621","vpi-v-0060067","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,"471835cc-feb6-4d05-a8d1-62ce71399326"
"280fbe9f-2afa-4fba-8f33-7202a8c5c075","b53091e1-0b79-403d-9cf6-d77338c9c82e","ga059167","diapensiaceae","galax","galax urceolata","united states","georgia",NA,NA,"1948-04-25T00:00:00+00:00","duncan, w","beab5209-9628-4d4d-851e-2bc9bb1a0105"
"2822bb8f-e07a-4e57-8f98-e94189ff6268","5257c99f-dd1f-48dc-9962-5be8bb769fe5","duke10095615","diapensiaceae","galax","galax urceolata","united states","south carolina",NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"288a47ad-c337-4997-9356-a12ab23db8fc","f3985f45-54b5-44d1-8010-9178159dc580","cm149918","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,"1895-10-31","murrill, w.a.","db6c3db9-1e6d-4def-af29-33aa0339bfa9"
"28a135ba-65fe-4cc9-87ea-072c99aef046","1f2b4fc3-4144-4c34-b56f-00ae313f883f","ga059172","diapensiaceae","galax","galax urceolata","united states","georgia",NA,NA,"1955-06-21T00:00:00+00:00","duncan, w","beab5209-9628-4d4d-851e-2bc9bb1a0105"
"28db60fb-bf81-476d-963b-9861faec70ff","1ac22d7f-8ddf-4c77-8776-770994f7d7d1","275425","diapensiaceae","galax","galax urceolata","united states","north carolina",-76.69245902,36.43689902,NA,"michelle gaynor","781fd581-7b93-471e-a025-413e4bcd8491"
"2953c89c-850e-4d3f-a485-f86613b830c4","3216ac71-f5ac-4ab9-8386-4c767443db2a","015501","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,"e23109b4-e143-437c-b329-3dff7cb35488"
