"locality string","country","state","county","latitude","longitude","correction status","precision","error polygon","multiple results","ID","name","basis"
NA,"united states","north carolina","transylvania",NA,NA,"","","","","37cfe931-e4e7-45c5-8303-bd71e8e19ebd","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","38edcd63-f59d-4175-b888-a56c4580ffb8","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens",NA,NA,"","","","","39391ad8-dced-4eca-b918-a1b502fafb38","shortia galacifolia","PreservedSpecimen"
"Bunches Creek, on mossy bank near creek just off Big Cove Road, Cherokee, N.C.","united states","north carolina","swain",NA,NA,"","","","","3be37723-9586-48e9-bfad-51d9de0f3374","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee co.",NA,NA,"","","","","3c28d166-4416-449c-9e7d-b3a75d0c4c4d","shortia galacifolia","PreservedSpecimen"
NA,"united states","georgia","rabun",NA,NA,"","","","","3c501865-e19b-4eef-9cb5-10840f1b8fe1","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","transylvania",NA,NA,"","","","","3fc4c77b-bec7-44e0-aee4-cb7d2e57f215","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","greenville",NA,NA,"","","","","4096a0b7-9ae3-4dfa-88e4-3531555ec1b4","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens",NA,NA,"","","","","40e6c914-815c-4482-af2b-c714a5c73c57","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","mcdowell",NA,NA,"","","","","43e34479-f6c8-45aa-bec9-436d2f2255ec","shortia galacifolia","PreservedSpecimen"
"Highlands Biological Station, Highlands","united states","north carolina","macon",NA,NA,"","","","","4594e346-4a9f-4f1c-b7b6-def1a2bfa86a","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","oconee",NA,NA,"","","","","46345f85-fdbe-4cf4-a5ec-f2991731560a","shortia galacifolia","PreservedSpecimen"
"By stream of Campsite","united states","north carolina","transylvania",NA,NA,"","","","","472cbcb9-958a-4028-ab3e-d0d813809612","shortia galacifolia","PreservedSpecimen"
"Plantae Exsiccatae Grayanae Shady banks under Rhododendron and Kalmia, by Whitewater River.","united states","south carolina","oconee county",NA,NA,"","","","","48dd212b-3634-4d45-b4df-ee128f6a1cec","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","496dc35a-7105-44be-8c63-7b3932430500","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","4a213c7b-e6dd-4d18-8407-fe69f1d3bc70","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina",NA,NA,NA,"","","","","4a3bcc97-f80d-4d39-a604-d4ea7a8d61a2","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens",NA,NA,"","","","","4a6f823c-e7e1-4a26-bdc6-7bc2f4151bad","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","mcdowell",NA,NA,"","","","","4a7686e0-1623-46ac-8a71-11a89ed8da41","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee county",NA,NA,"","","","","4c5bc14e-1b96-447e-93fb-7eb479df98bf","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","4d4a0b43-6d3c-48ab-b8cb-f62894d04463","shortia galacifolia","PreservedSpecimen"
"By branch back of old nursery on Pierson place - planted by Harbison","united states","north carolina","macon",NA,NA,"","","","","4dd2ab43-e541-49b4-994f-1a8750435b97","shortia galacifolia","PreservedSpecimen"
NA,"united states","georgia","rabun",NA,NA,"","","","","4e39ff69-27df-4a78-93a8-5fc41a82cd41","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","macon",NA,NA,"","","","","4e7409ae-0775-4df9-af7d-91d301258bc4","shortia galacifolia","PreservedSpecimen"
NA,NA,NA,NA,NA,NA,"","","","","4e756a72-e30a-4021-8dc8-494b2571630c","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","oconee",NA,NA,"","","","","4f116fd3-c09f-4cd9-ba90-3fdb8b04974c","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens",NA,NA,"","","","","4ff1280b-cdca-4aa6-9ae1-58ed00e0703a","shortia galacifolia","PreservedSpecimen"
"Locality Not Recorded","united states","north carolina",NA,NA,NA,"","","","","5251432d-d76e-41ec-aeda-8bff1197607f","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","529e43be-03a9-476f-8bb3-5c775a1ec576","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","5313a2ed-0213-4536-aefb-2bb4443fe090","shortia galacifolia","PreservedSpecimen"
"Found on the right bank of Toni's Creek about 200 yds. up Toni's Creek from Toni's Creek road crossing about .3 mile from Highway 221, 5 miles north of Marion, McDowell Co., N.C.","united states","north carolina","mcdowell",NA,NA,"","","","","531454e2-5d1a-4c1d-9f74-959682502582","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","buncombe",NA,NA,"","","","","5315ad1d-6a41-45b8-8cee-431873071738","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","54cc18af-7dec-4de0-a5c4-b393312dace4","shortia galacifolia","PreservedSpecimen"
"Locality Not Recorded","united states","north carolina","mcdowell county",NA,NA,"","","","","55030870-6d92-41f4-9a2e-7e0b41de876f","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens",NA,NA,"","","","","55509a3b-af4a-467f-8843-ab4a1d5eaa68","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","57cb1910-94b3-4447-b6f4-78869d9f7576","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee county",NA,NA,"","","","","581d8944-866a-4893-8b2a-4809c0089868","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","transylvania",NA,NA,"","","","","594feb4c-613a-4859-95e8-e8f6076955bb","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","macon",NA,NA,"","","","","599fe170-f87a-445b-a830-342148232309","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","5a1c903f-389f-40a0-8172-63625372dea7","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","5a6113a3-4acf-4a54-91d7-fa4736b70127","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina",NA,NA,NA,"","","","","5a7d32b5-4d55-463b-a9cd-6b909057b145","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","5b14705d-f0be-40cc-9581-1c209228ff25","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","transylvania",NA,NA,"","","","","5baaaaed-3678-4e91-8c16-e44fcbde17c0","shortia galacifolia","PreservedSpecimen"
"Beaerwallow Creek near Highlands","united states","north carolina","macon",NA,NA,"","","","","5dbd9d7f-054e-4ecb-9346-1e5d8287007b","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","5e25f73d-c424-4705-b1e3-9d043c616392","shortia galacifolia","PreservedSpecimen"
NA,"united states","virginia",NA,NA,NA,"","","","","5e3b763d-c77a-4562-a009-3e4c857a08a9","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","60781c16-5d8e-43e8-bf0e-1143fd09c487","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","60e10255-81b8-45c5-829c-f39141cee5cb","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","615a8b11-bd33-48bd-a5d6-06bd048e77fb","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","orange",NA,NA,"","","","","61af2552-1eb3-41b6-8498-f72a57476536","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens county",NA,NA,"","","","","63ae0123-a1f2-4cbe-ace0-0195c6d122c1","shortia galacifolia","PreservedSpecimen"
"White Water Valley","united states","south carolina","oconee",NA,NA,"","","","","63bcb3c9-40d3-408d-a6e8-0b657e9a8af0","sherwoodia galacifolia","PreservedSpecimen"
"Found by the first stream (small branch) on road to Joe McNulty's from Fish Hatchery road. About 50 yards upstream and going on as far as we went in scattered patches (about 200 yards) and accordingly to Mr. Townsend at least 1/2 mi. farther up.","united states","north carolina","mcdowell",NA,NA,"","","","","64166fdb-a66d-4d32-8dcb-d0bb8f5d80a0","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","6419138b-3887-4294-8a88-dfee941cc9b6","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","663d5ac0-28bd-45f0-ba6c-49ec6fc1d99c","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee county",NA,NA,"","","","","667c7442-098f-4719-b481-7c44f13980f1","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","67c4774a-d577-4352-aa61-7930e5d0474e","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","macon",NA,NA,"","","","","67edaf47-13ef-4d8c-88e6-9ef3e8fdc915","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens",NA,NA,"","","","","693b03e0-2bc6-48b3-98d3-2bd73afd2d11","shortia galacifolia","PreservedSpecimen"
NA,"united states","georgia","rabun",NA,NA,"","","","","6953993c-19f0-48c7-a2e6-fd82ff9b05ca","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","6a8adfef-d0d8-47f2-ac46-327dea9e89a5","shortia galacifolia","PreservedSpecimen"
"Near Asheville, Buncombe County, North Carolina.","united states","north carolina","buncombe",NA,NA,"","","","","6b0e6cfb-393a-4f05-afaf-41efe863b350","shortia galacifolia","PreservedSpecimen"
"Swannanoa River","united states","north carolina","buncombe",NA,NA,"","","","","6b811382-eea5-4044-8902-5a3f45de9615","sherwoodia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","mcdowell",NA,NA,"","","","","6c285169-9629-4471-a2e8-88b4d31bf830","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","6db3b417-392a-4519-8a07-61d8f9c347d0","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","mcdowell",NA,NA,"","","","","701c3174-dc07-4fc5-962f-042d87aa0f3d","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","spartanburg",NA,NA,"","","","","7111891d-78ec-44f0-a5e2-ba40505fc8fc","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee county",NA,NA,"","","","","73787b56-573e-4a69-8e2b-1d832811d67d","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","75650e3a-adae-469d-a5a9-66581c65b190","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","75aca415-770c-4aaf-a7a8-38449117a039","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","764b4990-c31b-4d83-8e3e-210f556de931","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens county",NA,NA,"","","","","77a0c371-6005-4ffa-a465-e266433ec6eb","shortia galacifolia","PreservedSpecimen"
"Found at the Fish Hatchery Branch about 1 1/2 mi. above Hatchery. It is very abundant on both banks for about 1/2 mi. and sometimes solid for 20x12 ft. To be sure to find this go to Fish Hatchery ang go up F.H. Branch (creek) for perhaps 1/2 mile and come to a valley pasture through which the branch runs. A saw mill was located here. There is now a pile of saw dust. Where the branch enters the open pasture from the woods, the Shortia begins and as far up as we went, about 1/4 mi., was in great abundance.","united states","north carolina","mcdowell",NA,NA,"","","","","78273178-e200-49bc-ad38-1d2c69a4d98c","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","mcdowell",NA,NA,"","","","","7848e919-5cce-454a-9434-4ebcfd142588","shortia galacifolia","PreservedSpecimen"
NA,"united states","tennessee","polk",NA,NA,"","","","","7996be2a-5d2b-4c3a-98b1-feea174b4eba","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","79c3c84f-728e-4824-9aac-be974151726e","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","transylvania",NA,NA,"","","","","7a3ea93e-4f2d-4569-ac14-2cf5a08fdb41","shortia galacifolia","PreservedSpecimen"
"Transylvania County, NC","united states","north carolina","transylvania county",NA,NA,"","","","","7a471850-2f7d-417b-971c-bb64d6569fa1","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","7a6e81b5-674b-4ac5-b842-087f3609653f","shortia galacifolia","PreservedSpecimen"
NA,NA,NA,NA,NA,NA,"","","","","7abbe27e-dce9-4399-abf2-b35280315168","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","7b8dd424-3f89-4e39-a1aa-b82adea8a34e","shortia galacifolia","PreservedSpecimen"
NA,"united states","virginia","amherst",NA,NA,"","","","","7c2c578b-0e0c-4a96-b0f9-f18521274b97","shortia galacifolia","PreservedSpecimen"
